"","taxa","p_raw","FDR","R2","prevalence","direction","maintax"
"1","hMGS.00001",0.00497512437810945,0.000116580310880829,0.150592779714519,1,"Decreased","Agathobacter rectalis"
"2","hMGS.00002",0.875621890547264,0.962458576998051,0.000136627879803688,0.982629727352683,"Decreased","Bifidobacterium longum"
"3","hMGS.00003",0.0199004975124378,0.0354323499491353,0.0369252869326917,1,"Decreased","Gemmiger qucibialis"
"4","hMGS.00004",0.288557213930348,0.450874043555032,0.00953664332931346,0.999780123131047,"Decreased","Bifidobacterium adolescentis"
"5","hMGS.00005",0.00497512437810945,0.000485148514851485,0.173445164122257,0.98768689533861,"Elevated","Ruminococcus E bromii B"
"6","hMGS.00006",0.134328358208955,0.213868384401114,0.0200499713950365,0.99934036939314,"Decreased","Agathobacter faecis"
"7","hMGS.00007",0.00497512437810945,8.08625336927224e-05,0.191299417009989,0.996921723834653,"Decreased","Anaerostipes hadrus"
"8","hMGS.00008",0.651741293532338,0.834567553735926,0.00149690214388313,0.953386103781882,"Decreased","Lachnospira eligens A"
"9","hMGS.00009",0.0149253731343284,0.0373790322580645,0.061891370687565,0.996701846965699,"Decreased","UBA11524 sp000437595"
"10","hMGS.00010",0.0497512437810945,0.0507424812030075,0.049811750632072,0.998900615655233,"Decreased","Ruminococcus D bicirculans"
"11","hMGS.00011",0.00497512437810945,8.08625336927224e-05,0.0958750216707,1,"Decreased","Fusicatenibacter saccharivorans"
"12","hMGS.00012",0.109452736318408,0.137196911196911,0.0239999242678098,0.997801231310466,"Decreased","Acetatifactor sp900066565"
"13","hMGS.00013",0.417910447761194,0.471815008726003,0.00386727424342614,1,"Decreased","Blautia A wexlerae"
"14","hMGS.00018",0.00497512437810945,0.0192329545454545,0.0988222267865449,0.996701846965699,"Decreased","Coprococcus eutactus A"
"15","hMGS.00019",0.00497512437810945,0.00256451612903226,0.204048410849016,0.697889182058048,"Elevated","Bifidobacterium bifidum"
"16","hMGS.00020",0.00497512437810945,9.9601593625498e-06,0.558405395942591,0.968337730870712,"Elevated","CAG-177 sp003514385"
"17","hMGS.00021",0.00995024875621891,0.0382414829659319,0.0686253960453462,0.988786279683377,"Elevated","Ruminiclostridium E siraeum"
"18","hMGS.00022",0.482587064676617,0.541418499717992,0.00757248080744271,0.992744063324538,"Decreased","Acetatifactor intestinalis"
